FighterA,FighterB,ReachA,ReachB,HeightA,HeightB,WeightA,WeightB,AgeA,AgeB,WinsA,WinsB,LossesA,LossesB,DrawsA,DrawsB,TotalFightsA,TotalFightsB,WinPercA,WinPercB,KOPercA,KOPercB,RecentWinsA,RecentWinsB,RecentWinPercA,RecentWinPercB,TimeSinceLastFightA,TimeSinceLastFightB,PunchAccuracyA,PunchAccuracyB,PunchesLandedPerRoundA,PunchesLandedPerRoundB,PunchesAbsorbedPerRoundA,PunchesAbsorbedPerRoundB,DefensePercA,DefensePercB,AvgOpponentWinPercA,AvgOpponentWinPercB,StrengthOfScheduleA,StrengthOfScheduleB,StanceA,StanceB,WeightClassA,WeightClassB,TitleFight,LocationAdvantage,Result
Tyson Fury,Deontay Wilder,216.0,211.0,206.0,201.0,256.0,231.0,31,34,34,42,0,1,1,1,35.0,44.0,0.97,0.95,0.66,0.91,5.0,5.0,0.8,0.8,180,150,30,34,27,28,10,9,54.0,50.0,0.72,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Anthony Joshua,Joseph Parker,208.0,193.0,198.0,193.0,242.0,236.0,28,26,25,33,1,2,0,0,26.0,35.0,0.96,0.94,0.92,0.74,5.0,5.0,0.8,0.8,120,150,32,30,26,23,9,10,52.0,54.0,0.72,0.7,9,8,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Sonny Liston,Floyd Patterson,213.0,180.0,185.0,183.0,214.0,190.0,30,28,50,55,4,8,0,1,54.0,64.0,0.93,0.86,0.8,0.72,5.0,5.0,0.8,0.8,240,210,31,29,22,25,10,9,54.0,50.0,0.74,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Larry Holmes,Ken Norton,206.0,203.0,191.0,191.0,220.0,215.0,28,33,69,42,6,7,0,1,75.0,50.0,0.92,0.84,0.7,0.72,5.0,5.0,0.8,0.8,180,210,32,34,24,27,9,10,54.0,52.0,0.74,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Jack Dempsey,Luis Firpo,185.0,77.0,185.0,25.0,188.0,216.0,29,25,60,32,6,4,8,0,74.0,36.0,0.81,0.89,0.79,0.7,5.0,5.0,0.8,0.8,240,180,34,32,28,26,9,10,52.0,50.0,0.7,0.72,9,8,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Gene Tunney,Jack Dempsey,193.0,185.0,183.0,185.0,189.0,192.0,29,32,65,60,1,6,0,8,66.0,74.0,0.98,0.81,0.56,0.79,5.0,5.0,0.8,0.8,180,240,28,34,23,28,10,9,54.0,52.0,0.74,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Ezzard Charles,Jersey Joe Walcott,185.0,188.0,183.0,183.0,184.0,194.0,27,33,95,51,25,18,1,2,121.0,71.0,0.78,0.72,0.42,0.46,5.0,5.0,0.8,0.8,240,270,30,32,27,25,9,10,52.0,54.0,0.72,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Rocky Graziano,Tony Zale,174.0,175.0,24.0,33.0,160.0,160.0,24,33,67,67,11,18,6,2,84.0,87.0,0.8,0.77,0.68,0.7,5.0,5.0,0.8,0.8,150,180,32,34,29,26,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Kid Gavilan,Johnny Bratton,71.0,71.0,26.0,28.0,147.0,147.0,26,28,108,60,30,20,4,3,142.0,83.0,0.76,0.72,0.37,0.55,5.0,5.0,0.8,0.8,180,240,28,31,25,26,9,10,54.0,50.0,0.74,0.7,8,8,Orthodox,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Carlos Monzon,Nino Benvenuti,76.0,72.0,28.0,32.0,160.0,160.0,28,32,82,82,3,7,9,0,94.0,89.0,0.87,0.92,0.68,0.61,5.0,5.0,0.8,0.8,240,210,32,30,23,25,9,10,54.0,52.0,0.72,0.74,9,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Jake LaMotta,Marcel Cerdan,170.0,175.0,173.0,169.0,160.0,160.0,27,33,83,110,19,4,5,0,107.0,114.0,0.78,0.95,0.44,0.6,5.0,5.0,0.8,0.8,210,240,29,34,27,28,9,10,52.0,54.0,0.72,0.74,9,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Barney Ross,Jimmy McLarnin,170.0,170.0,25.0,28.0,135.0,135.0,25,28,74,54,4,11,3,4,81.0,69.0,0.91,0.78,0.52,0.6,5.0,5.0,0.8,0.8,180,210,28,30,22,25,10,9,54.0,52.0,0.74,0.7,8,9,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0.0,1.0
Sugar Ray Leonard,Wilfred Benitez,188.0,178.0,178.0,178.0,147.0,147.0,23,20,36,53,3,8,1,1,40.0,62.0,0.9,0.85,0.58,0.44,5.0,5.0,0.8,0.8,120,150,34,29,23,26,10,9,52.0,50.0,0.72,0.7,9,8,Orthodox,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Michael Spinks,Dwight Muhammad Qawi,193.0,180.0,185.0,169.0,175.0,175.0,26,28,31,41,1,6,0,1,32.0,48.0,0.97,0.85,0.75,0.71,5.0,5.0,0.8,0.8,180,240,32,30,24,27,9,10,54.0,52.0,0.74,0.7,9,8,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Archie Moore,Harold Johnson,191.0,188.0,38.0,28.0,175.0,175.0,38,28,186,76,23,11,10,2,219.0,89.0,0.85,0.85,0.67,0.55,5.0,5.0,0.8,0.8,240,210,28,30,27,26,9,10,52.0,50.0,0.7,0.72,9,8,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Max Schmeling,Joe Louis,76.0,193.0,30.0,22.0,192.0,197.0,30,22,56,66,10,3,4,0,70.0,69.0,0.8,0.96,0.6,0.91,5.0,5.0,0.8,0.8,210,120,28,34,27,18,9,11,52.0,54.0,0.7,0.76,8,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,0.0
Ingemar Johansson,Floyd Patterson,76.0,180.0,26.0,183.0,71.0,71.0,196,182,26,24,21,30,2,5,23.0,35.0,0.88,0.83,0.8,0.71,5.0,5.0,0.8,0.8,180,210,28,29,24,22,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Sonny Liston,Cleveland Williams,213.0,198.0,185.0,188.0,73.0,73.0,215,210,27,23,14,12,2,2,39.0,27.0,0.93,0.88,0.85,0.83,5.0,5.0,0.8,0.8,210,180,30,26,26,23,10,9,54.0,52.0,0.74,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Bobby Chacon,Boom Boom Mancini,163.0,165.0,166.0,164.0,66.0,66.0,130,135,29,22,23,21,7,3,52.0,24.0,0.79,0.86,0.55,0.7,5.0,5.0,0.8,0.8,150,180,31,27,27,23,8,9,52.0,50.0,0.7,0.72,8,8,Orthodox,Orthodox,Featherweight,Lightweight,1,0.0,1.0
Alexis Arguello,Ray Mancini,183.0,165.0,178.0,164.0,71.0,66.0,135,135,28,20,23,17,1,0,46.0,18.0,0.92,0.89,0.82,0.85,5.0,5.0,0.8,0.8,150,180,32,26,25,23,9,8,54.0,50.0,0.74,0.7,9,9,Orthodox,Orthodox,Lightweight,Lightweight,1,0.0,1.0
Julio Cesar Chavez,Meldrick Taylor,185.0,168.0,183.0,169.0,67.0,67.0,140,140,27,23,19,16,0,0,30.0,19.0,0.95,0.87,0.7,0.74,5.0,5.0,0.8,0.8,150,240,28,25,26,23,9,10,54.0,52.0,0.74,0.7,9,9,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0.0,1.0
Wilfredo Benitez,Thomas Hearns,178.0,198.0,178.0,185.0,70.0,73.0,154,154,23,22,17,15,0,0,36.0,21.0,0.85,0.95,0.65,0.9,5.0,5.0,0.8,0.8,120,210,25,23,22,21,9,10,52.0,54.0,0.72,0.74,9,9,Orthodox,Orthodox,LightMiddleweight,LightMiddleweight,0,1.0,0.0
Aaron Pryor,Alexis Arguello,175.0,183.0,168.0,178.0,67.0,71.0,140,140,27,30,22,23,0,0,37.0,24.0,0.97,0.92,0.81,0.78,5.0,5.0,0.8,0.8,180,240,28,31,26,27,10,9,54.0,52.0,0.74,0.7,9,9,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0.0,1.0
Mike McCallum,Donald Curry,198.0,183.0,182.0,179.0,73.0,69.0,154,154,30,25,22,20,0,0,49.0,27.0,0.94,0.87,0.73,0.78,5.0,5.0,0.8,0.8,150,180,32,26,24,22,9,9,54.0,50.0,0.74,0.72,9,9,Orthodox,Orthodox,LightMiddleweight,LightMiddleweight,1,0.0,1.0
Nigel Benn,Gerald McClellan,173.0,196.0,173.0,185.0,70.0,72.0,168,168,31,27,22,25,1,0,42.0,31.0,0.81,0.93,0.71,0.85,5.0,5.0,0.8,0.8,180,240,33,29,26,24,9,10,52.0,50.0,0.72,0.7,9,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
Frankie Randall,Julio Cesar Chavez,173.0,185.0,175.0,183.0,69.0,67.0,140,140,32,31,28,27,1,0,56.0,92.0,0.86,0.98,0.66,0.7,5.0,5.0,0.8,0.8,180,240,34,32,25,29,9,10,52.0,54.0,0.72,0.74,8,9,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0.0,1.0
John Mugabi,Marvin Hagler,188.0,191.0,174.0,178.0,71.0,69.0,160,160,26,31,25,28,0,0,36.0,62.0,0.96,0.89,0.7,0.82,5.0,5.0,0.8,0.8,150,240,27,32,24,26,9,10,52.0,54.0,0.72,0.7,8,9,Orthodox,Southpaw,Middleweight,Middleweight,0,1.0,0.0
Cornelius Boza Edwards,Bobby Chacon,180.0,163.0,174.0,166.0,67.0,66.0,130,130,26,29,19,20,0,0,45.0,60.0,0.83,0.82,0.71,0.65,5.0,5.0,0.8,0.8,150,180,28,30,24,27,9,8,52.0,50.0,0.7,0.72,8,9,Southpaw,Orthodox,SuperFeatherweight,SuperFeatherweight,0,1.0,0.0
Riddick Bowe,Andrew Golota,206.0,81.0,196.0,28.0,77.0,77.0,246,240,28,28,22,23,0,0,40.0,28.0,0.88,0.83,0.79,0.7,5.0,5.0,0.8,0.8,180,210,29,29,26,25,9,10,54.0,50.0,0.74,0.72,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
David Tua,Ike Ibeabuchi,70.0,193.0,27.0,188.0,70.0,72.0,237,244,27,25,23,20,0,0,43.0,20.0,0.89,1.0,0.74,0.85,5.0,5.0,0.8,0.8,150,180,29,27,25,24,9,10,52.0,50.0,0.7,0.74,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,0,1.0,0.0
James Toney,Michael Nunn,188.0,196.0,175.0,188.0,70.0,73.0,160,160,23,27,20,21,0,0,28.0,36.0,0.95,0.94,0.75,0.85,5.0,5.0,0.8,0.8,180,240,25,29,24,27,9,9,54.0,52.0,0.74,0.7,9,9,Orthodox,Southpaw,Middleweight,Middleweight,1,0.0,1.0
Tony Tucker,Buster Douglas,208.0,211.0,196.0,192.0,77.0,76.0,220,231,29,27,25,23,0,0,34.0,29.0,0.88,0.83,0.72,0.79,5.0,5.0,0.8,0.8,150,210,30,28,26,25,9,10,52.0,54.0,0.72,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Trevor Berbick,Pinklon Thomas,198.0,196.0,188.0,191.0,74.0,75.0,215,217,30,27,22,24,0,0,50.0,31.0,0.83,0.91,0.68,0.75,5.0,5.0,0.8,0.8,210,240,32,28,27,25,9,10,54.0,52.0,0.74,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Michael Grant,Andrew Golota,218.0,81.0,27.0,31.0,77.0,77.0,250,240,27,31,22,25,0,0,31.0,37.0,0.85,0.9,0.72,0.74,5.0,5.0,0.8,0.8,150,180,29,32,25,27,9,10,52.0,54.0,0.72,0.7,9,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Corrie Sanders,Wladimir Klitschko,77.0,81.0,37.0,27.0,76.0,78.0,225,238,37,27,28,25,0,0,38.0,41.0,0.89,0.91,0.71,0.78,5.0,5.0,0.8,0.8,210,180,38,28,27,26,9,10,52.0,54.0,0.74,0.7,9,9,Southpaw,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Lamont Peterson,Amir Khan,183.0,180.0,175.0,174.0,69.0,69.0,140,140,27,25,17,19,0,0,30.0,26.0,0.82,0.87,0.64,0.7,5.0,5.0,0.8,0.8,150,210,29,27,25,24,9,10,52.0,54.0,0.72,0.7,8,9,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0.0,1.0
Ruslan Provodnikov,Mike Alvarado,68.0,177.0,29.0,175.0,68.0,69.0,140,140,29,32,23,24,0,0,23.0,34.0,0.79,0.8,0.62,0.7,5.0,5.0,0.8,0.8,180,210,31,33,26,27,9,9,54.0,52.0,0.74,0.7,9,9,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0.0,1.0
Orlando Canizales,Paul Banke,165.0,165.0,163.0,164.0,66.0,66.0,118,118,25,26,35,25,0,0,30.0,26.0,0.9,0.85,0.75,0.7,5.0,5.0,0.8,0.8,150,180,28,27,24,23,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Bantamweight,Bantamweight,1,0.0,1.0
Wilfredo Gomez,Carlos Zarate,169.0,170.0,166.0,173.0,65.0,66.0,122,122,23,26,32,54,0,0,32.0,54.0,0.95,0.92,0.8,0.85,5.0,5.0,0.8,0.8,150,180,27,26,23,24,9,10,52.0,50.0,0.74,0.7,8,9,Orthodox,Orthodox,SuperBantamweight,SuperBantamweight,1,0.0,1.0
Eder Jofre,Fighting Harada,68.0,163.0,28.0,160.0,66.0,65.0,118,118,28,25,60,55,0,0,60.0,55.0,0.92,0.9,0.78,0.72,5.0,5.0,0.8,0.8,150,180,29,28,25,24,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Bantamweight,Bantamweight,1,0.0,1.0
Vicente Saldivar,Howard Winstone,169.0,68.0,160.0,165.0,66.0,66.0,126,126,24,27,37,61,0,0,37.0,61.0,0.88,0.85,0.7,0.72,5.0,5.0,0.8,0.8,150,180,28,27,24,25,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Featherweight,Featherweight,1,0.0,1.0
Carlos Ortiz,Ismael Laguna,178.0,173.0,170.0,175.0,68.0,67.0,135,135,29,25,61,65,0,0,61.0,65.0,0.9,0.88,0.75,0.7,5.0,5.0,0.8,0.8,150,180,30,28,25,24,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Lightweight,Lightweight,1,0.0,1.0
Jose Napoles,Curtis Cokes,183.0,71.0,171.0,29.0,70.0,70.0,147,147,28,29,81,62,0,0,81.0,62.0,0.92,0.9,0.78,0.74,5.0,5.0,0.8,0.8,150,180,29,30,25,26,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Emile Griffith,Benny Paret,183.0,70.0,169.0,25.0,71.0,69.0,147,147,24,25,25,35,0,0,25.0,35.0,0.88,0.85,0.7,0.68,5.0,5.0,0.8,0.8,150,180,27,26,23,22,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Henry Armstrong,Barney Ross,170.0,170.0,166.0,27.0,65.0,67.0,135,135,25,27,95,74,0,0,95.0,74.0,0.9,0.88,0.75,0.72,5.0,5.0,0.8,0.8,150,180,26,27,24,25,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Lightweight,Lightweight,1,0.0,1.0
Sam Langford,Harry Wills,188.0,213.0,26.0,24.0,67.0,74.0,190,200,26,24,140,80,0,0,140.0,80.0,0.85,0.88,0.72,0.7,5.0,5.0,0.8,0.8,150,180,28,29,25,24,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Heavyweight,Heavyweight,0,1.0,0.0
Jack Johnson,James J. Jeffries,188.0,194.0,32.0,187.0,72.0,73.0,208,225,32,35,68,61,0,0,68.0,61.0,0.88,0.85,0.78,0.74,5.0,5.0,0.8,0.8,150,180,30,32,26,28,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Bob Foster,Joe Frazier,201.0,187.0,191.0,182.0,74.0,71.0,175,205,30,26,56,32,0,0,56.0,32.0,0.9,0.87,0.7,0.72,5.0,5.0,0.8,0.8,150,180,28,29,25,24,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,LightHeavyweight,Heavyweight,0,1.0,0.0
Sonny Liston,Eddie Machen,213.0,191.0,185.0,28.0,73.0,74.0,215,200,27,28,35,50,0,0,35.0,50.0,0.92,0.88,0.78,0.74,5.0,5.0,0.8,0.8,150,180,29,28,26,25,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Joe Walcott,Ezzard Charles,188.0,185.0,183.0,183.0,72.0,72.0,190,184,29,27,66,61,0,0,66.0,61.0,0.88,0.85,0.72,0.7,5.0,5.0,0.8,0.8,150,180,30,29,25,24,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Middleweight,Middleweight,0,1.0,0.0
Ruben Olivares,Chucho Castillo,170.0,178.0,166.0,163.0,66.0,66.0,118,118,22,26,61,47,0,0,61.0,47.0,0.9,0.88,0.75,0.7,5.0,5.0,0.8,0.8,150,180,27,26,24,23,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Bantamweight,Bantamweight,1,0.0,1.0
Carlos Palomino,Wilfred Benitez,181.0,178.0,177.0,178.0,70.0,70.0,147,147,27,20,31,38,0,0,31.0,38.0,0.88,0.85,0.7,0.72,5.0,5.0,0.8,0.8,150,180,28,27,24,25,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Welterweight,LightMiddleweight,0,1.0,0.0
Oscar De La Hoya,Felix Trinidad,73.0,183.0,179.0,180.0,66.0,71.0,147,147,26,26,31,35,0,0,31.0,35.0,0.9,0.88,0.72,0.7,5.0,5.0,0.8,0.8,150,180,27,28,25,24,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Welterweight,Welterweight,0,1.0,0.0
Ricardo Lopez,Rosendo Alvarez,163.0,165.0,165.0,165.0,65.0,65.0,105,105,30,23,47,24,0,0,47.0,24.0,0.92,0.9,0.78,0.72,5.0,5.0,0.8,0.8,150,180,26,25,24,23,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,LightFlyweight,LightFlyweight,0,1.0,0.0
Marco Antonio Barrera,Erik Morales,178.0,183.0,168.0,173.0,67.0,71.0,122,122,26,23,49,35,0,0,49.0,35.0,0.91,0.88,0.73,0.7,5.0,5.0,0.8,0.8,150,180,27,26,24,23,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,SuperBantamweight,SuperBantamweight,1,0.0,1.0
Juan Manuel Marquez,Marco Antonio Barrera,170.0,178.0,170.0,168.0,67.0,67.0,130,130,33,33,47,63,0,0,47.0,63.0,0.9,0.88,0.75,0.72,5.0,5.0,0.8,0.8,150,180,28,29,25,26,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,Lightweight,Lightweight,1,0.0,1.0
Manny Pacquiao,Juan Manuel Marquez,67.0,170.0,25.0,170.0,65.0,67.0,125,130,25,30,42,42,0,0,42.0,42.0,0.95,0.92,0.8,0.78,5.0,5.0,0.8,0.8,150,180,26,27,24,25,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,LightWelterweight,LightWelterweight,0,1.0,0.0
Miguel Cotto,Sergio Martinez,170.0,185.0,173.0,178.0,67.0,71.0,159,159,33,39,38,51,0,0,38.0,51.0,0.92,0.9,0.75,0.72,5.0,5.0,0.8,0.8,150,180,29,30,26,25,9,10,52.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,LightMiddleweight,Middleweight,1,0.0,1.0
Kelly Pavlik,Jermain Taylor,191.0,198.0,189.0,188.0,72.0,71.0,160,160,31,27,0,0,31,27,0.83,0.78,0.74,0.7,5.0,5.0,0.82,0.8,150.0,180.0,28,27,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Orthodox,Middleweight,Middleweight,1,0,1,,
Andre Ward,Carl Froch,180.0,191.0,183.0,185.0,72.0,76.0,168,168,24,28,0,0,24,28,0.65,0.78,0.72,0.7,5.0,5.0,0.82,0.8,150.0,180.0,27,26,25,24,9,10,52,50,0.74,0.71,8.0,9.0,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0,1,,
Mikkel Kessler,Carl Froch,74.0,191.0,30.0,185.0,72.0,76.0,168,168,43,26,0,0,43,26,0.7,0.75,0.72,0.7,5.0,5.0,0.81,0.8,150.0,180.0,28,27,25,25,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,0,1,0,,
Arthur Abraham,Andre Dirrell,183.0,191.0,175.0,185.0,70.0,72.0,168,168,30,19,0,0,30,19,0.85,0.6,0.76,0.71,5.0,5.0,0.81,0.8,150.0,180.0,27,26,24,23,9,10,52,50,0.72,0.7,8.0,9.0,Orthodox,Southpaw,SuperMiddleweight,SuperMiddleweight,0,1,0,,
Joe Calzaghe,Mikkel Kessler,185.0,74.0,183.0,28.0,71.0,72.0,168,168,44,39,0,0,44,39,0.7,0.7,0.74,0.72,5.0,5.0,0.83,0.81,150.0,180.0,30,28,26,25,9,10,52,50,0.75,0.72,8.0,9.0,Southpaw,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0,1,,
Naseem Hamed,Manuel Medina,160.0,175.0,160.0,175.0,65.0,67.0,126,126,25,60,0,0,25,60,0.93,0.55,0.78,0.7,5.0,5.0,0.8,0.78,150.0,180.0,27,26,24,23,9,10,52,50,0.74,0.7,8.0,9.0,Southpaw,Orthodox,Featherweight,Featherweight,1,0,1,,
Paul Williams,Antonio Margarito,198.0,183.0,188.0,180.0,73.0,71.0,147,147,32,38,0,0,32,38,0.75,0.7,0.76,0.71,5.0,5.0,0.83,0.82,150.0,180.0,28,27,25,25,9,10,52,50,0.73,0.71,8.0,9.0,Southpaw,Orthodox,Welterweight,Welterweight,1,0,1,,
Shane Mosley,Miguel Cotto,188.0,170.0,175.0,173.0,69.0,67.0,147,147,44,30,0,0,44,30,0.85,0.75,0.74,0.72,5.0,5.0,0.82,0.8,150.0,180.0,29,28,25,24,9,10,52,50,0.74,0.71,8.0,9.0,Orthodox,Orthodox,Welterweight,Welterweight,0,1,0,,
Ricardo Mayorga,Felix Trinidad,69.0,183.0,180.0,180.0,72.0,71.0,160,160,27,41,0,0,27,41,0.85,0.77,0.74,0.7,5.0,5.0,0.8,0.82,150.0,180.0,28,29,25,24,9,10,52,50,0.72,0.71,8.0,9.0,Orthodox,Orthodox,Middleweight,Middleweight,0,1,0,,
Diego Corrales,Jose Luis Castillo,178.0,175.0,179.0,171.0,70.0,69.0,135,135,40,52,0,0,40,52,0.8,0.7,0.75,0.71,5.0,5.0,0.81,0.79,150.0,180.0,28,28,25,25,9,10,52,50,0.73,0.7,8.0,9.0,Orthodox,Orthodox,Lightweight,Lightweight,1,0,1,,
Acelino Freitas,Joel Casamayor,175.0,175.0,168.0,170.0,69.0,67.0,135,135,35,30,0,0,35,30,0.9,0.5,0.78,0.72,5.0,5.0,0.82,0.81,150.0,180.0,27,28,24,25,9,10,52,50,0.74,0.7,8.0,9.0,Orthodox,Southpaw,Lightweight,Lightweight,0,1,0,,
Timothy Bradley,Devon Alexander,175.0,175.0,168.0,174.0,67.0,69.0,140,140,26,21,0,0,26,21,0.5,0.65,0.73,0.72,5.0,5.0,0.83,0.8,150.0,180.0,28,27,25,24,9,10,52,50,0.74,0.72,8.0,9.0,Orthodox,Southpaw,LightWelterweight,LightWelterweight,1,0,1,,
Lamont Peterson,Danny Garcia,183.0,174.0,175.0,174.0,69.0,68.0,143,142,33,29,0,0,33,29,0.5,0.7,0.72,0.7,5.0,5.0,0.81,0.82,150.0,180.0,28,27,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Orthodox,LightWelterweight,LightWelterweight,0,1,0,,
Adrien Broner,Marcos Maidana,177.0,175.0,169.0,170.0,67.0,69.0,147,147,27,34,0,0,27,34,0.8,0.6,0.75,0.7,5.0,5.0,0.8,0.81,150.0,180.0,27,28,24,25,9,10,52,50,0.72,0.71,8.0,9.0,Orthodox,Orthodox,Welterweight,Welterweight,0,1,0,,
Marcos Maidana,Amir Khan,175.0,180.0,170.0,174.0,69.0,69.0,140,140,29,23,0,0,29,23,0.6,0.7,0.73,0.71,5.0,5.0,0.81,0.83,150.0,180.0,28,27,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Orthodox,LightWelterweight,LightWelterweight,0,1,0,,
Lucas Matthysse,Lamont Peterson,175.0,183.0,168.0,175.0,67.0,69.0,140,140,34,32,0,0,34,32,0.85,0.5,0.76,0.7,5.0,5.0,0.82,0.8,150.0,180.0,28,28,25,24,9,10,52,50,0.74,0.71,8.0,9.0,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0,1,,
Ruslan Chagaev,Nikolai Valuev,74.0,85.0,29.0,34.0,72.0,85.0,228,328,25,47,0,0,25,47,0.65,0.5,0.72,0.7,5.0,5.0,0.8,0.81,150.0,180.0,27,29,25,26,9,10,52,50,0.72,0.7,8.0,9.0,Southpaw,Orthodox,Heavyweight,Heavyweight,1,0,1,,
Sultan Ibragimov,Evander Holyfield,76.0,78.0,32.0,189.0,74.0,218.3,220,211,22,42,0,0,22,42,0.55,0.67,0.71,0.69,5.0,5.0,0.8,0.81,150.0,180.0,28,30,25,26,9,10,52,50,0.73,0.71,8.0,9.0,Southpaw,Orthodox,Heavyweight,Heavyweight,1,0,1,,
David Haye,Enzo Maccarinelli,198.0,188.0,191.0,193.0,75.0,75.0,200,200,20,28,0,0,20,28,0.9,0.8,0.76,0.72,5.0,5.0,0.82,0.81,150.0,180.0,27,26,24,25,9,10,52,50,0.74,0.72,8.0,9.0,Orthodox,Orthodox,Cruiserweight,Cruiserweight,1,0,1,,
Jean Pascal,Chad Dawson,183.0,194.0,179.0,185.0,71.0,75.0,175,175,25,29,0,0,25,29,0.6,0.45,0.72,0.7,5.0,5.0,0.81,0.8,150.0,180.0,28,27,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Southpaw,LightHeavyweight,LightHeavyweight,1,0,1,,
Antonio Tarver,Montell Griffin,191.0,178.0,188.0,170.0,74.0,70.0,175,175,22,49,0,0,22,49,0.55,0.55,0.7,0.7,5.0,5.0,0.81,0.8,150.0,180.0,28,27,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Southpaw,Orthodox,LightHeavyweight,LightHeavyweight,1,0,1,,
Bernard Hopkins,Antonio Tarver,180.0,191.0,185.0,188.0,72.0,74.0,175,175,46,24,0,0,46,24,0.5,0.65,0.73,0.71,5.0,5.0,0.81,0.8,150.0,180.0,27,26,25,24,9,10,52,50,0.72,0.7,8.0,9.0,Orthodox,Southpaw,LightHeavyweight,LightHeavyweight,1,0,1,,
